station,region,lat_req,lon_req,lat_actual,lon_actual,date,sst_c
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-02-15 00:00:00.000000000,5.7400
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-03-16 12:00:00.000000000,6.0535
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-04-16 00:00:00.000000000,8.6310
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-05-16 12:00:00.000000000,13.6955
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-06-16 00:00:00.000000000,18.9387
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-07-16 12:00:00.000000000,23.1148
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-08-16 12:00:00.000000000,26.0417
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-09-16 00:00:00.000000000,23.3791
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-10-16 12:00:00.000000000,18.9360
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-11-16 00:00:00.000000000,13.6375
인천,서해,37.4519,126.5922,37.5000,126.5000,1879-12-16 12:00:00.000000000,8.3564
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-01-16 12:00:00.000000000,5.3234
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-02-15 12:00:00.000000000,4.9662
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-03-16 12:00:00.000000000,7.5196
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-04-16 00:00:00.000000000,10.0850
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-05-16 12:00:00.000000000,12.9935
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-06-16 00:00:00.000000000,18.3287
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-07-16 12:00:00.000000000,23.1688
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-08-16 12:00:00.000000000,26.9677
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-09-16 00:00:00.000000000,24.3791
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-10-16 12:00:00.000000000,19.8980
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-11-16 00:00:00.000000000,14.4835
인천,서해,37.4519,126.5922,37.5000,126.5000,1880-12-16 12:00:00.000000000,9.7904
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-01-16 12:00:00.000000000,6.6674
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-02-15 00:00:00.000000000,5.3932
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-03-16 12:00:00.000000000,6.0176
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-04-16 00:00:00.000000000,8.2150
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-05-16 12:00:00.000000000,12.5445
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-06-16 00:00:00.000000000,17.9017
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-07-16 12:00:00.000000000,22.7298
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-08-16 12:00:00.000000000,26.2057
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-09-16 00:00:00.000000000,23.8831
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-10-16 12:00:00.000000000,19.9350
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-11-16 00:00:00.000000000,15.5825
인천,서해,37.4519,126.5922,37.5000,126.5000,1881-12-16 12:00:00.000000000,10.9634
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-01-16 12:00:00.000000000,7.8394
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-02-15 00:00:00.000000000,6.4772
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-03-16 12:00:00.000000000,6.5746
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-04-16 00:00:00.000000000,8.2170
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-05-16 12:00:00.000000000,12.2965
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-06-16 00:00:00.000000000,17.6608
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-07-16 12:00:00.000000000,23.0322
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-08-16 12:00:00.000000000,25.1882
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-09-16 00:00:00.000000000,22.7245
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-10-16 12:00:00.000000000,18.8558
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-11-16 00:00:00.000000000,13.4146
인천,서해,37.4519,126.5922,37.5000,126.5000,1882-12-16 12:00:00.000000000,8.9074
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-01-16 12:00:00.000000000,7.1284
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-02-15 00:00:00.000000000,5.5732
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-03-16 12:00:00.000000000,6.1936
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-04-16 00:00:00.000000000,8.3500
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-05-16 12:00:00.000000000,12.7635
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-06-16 00:00:00.000000000,18.0767
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-07-16 12:00:00.000000000,23.5446
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-08-16 12:00:00.000000000,25.6772
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-09-16 00:00:00.000000000,22.1167
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-10-16 12:00:00.000000000,18.3616
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-11-16 00:00:00.000000000,14.3575
인천,서해,37.4519,126.5922,37.5000,126.5000,1883-12-16 12:00:00.000000000,9.5804
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-01-16 12:00:00.000000000,7.1554
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-02-15 12:00:00.000000000,6.3582
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-03-16 12:00:00.000000000,6.7786
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-04-16 00:00:00.000000000,8.6290
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-05-16 12:00:00.000000000,11.8975
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-06-16 00:00:00.000000000,17.4055
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-07-16 12:00:00.000000000,21.7212
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-08-16 12:00:00.000000000,24.5797
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-09-16 00:00:00.000000000,22.6316
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-10-16 12:00:00.000000000,18.7650
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-11-16 00:00:00.000000000,13.9765
인천,서해,37.4519,126.5922,37.5000,126.5000,1884-12-16 12:00:00.000000000,9.5234
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-01-16 12:00:00.000000000,6.1174
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-02-15 00:00:00.000000000,5.0102
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-03-16 12:00:00.000000000,5.5236
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-04-16 00:00:00.000000000,7.9930
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-05-16 12:00:00.000000000,11.9695
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-06-16 00:00:00.000000000,16.8497
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-07-16 12:00:00.000000000,21.8568
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-08-16 12:00:00.000000000,25.3727
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-09-16 00:00:00.000000000,22.7211
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-10-16 12:00:00.000000000,18.2750
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-11-16 00:00:00.000000000,13.6885
인천,서해,37.4519,126.5922,37.5000,126.5000,1885-12-16 12:00:00.000000000,9.6464
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-01-16 12:00:00.000000000,6.7204
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-02-15 00:00:00.000000000,5.0732
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-03-16 12:00:00.000000000,6.7716
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-04-16 00:00:00.000000000,9.1720
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-05-16 12:00:00.000000000,13.6535
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-06-16 00:00:00.000000000,18.4907
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-07-16 12:00:00.000000000,22.1548
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-08-16 12:00:00.000000000,24.8297
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-09-16 00:00:00.000000000,22.8231
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-10-16 12:00:00.000000000,18.5780
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-11-16 00:00:00.000000000,14.5065
인천,서해,37.4519,126.5922,37.5000,126.5000,1886-12-16 12:00:00.000000000,10.2584
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-01-16 12:00:00.000000000,7.5524
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-02-15 00:00:00.000000000,5.8182
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-03-16 12:00:00.000000000,6.9106
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-04-16 00:00:00.000000000,9.0950
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-05-16 12:00:00.000000000,12.7685
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-06-16 00:00:00.000000000,18.0157
인천,서해,37.4519,126.5922,37.5000,126.5000,1887-07-16 12:00:00.000000000,22.3048
