station,start,end,duration_months,max_anomaly_c,mean_anomaly_c,max_sst_c
포항,2021-10,2021-11,2,2.445,1.853,23.601
포항,2022-09,2022-12,4,1.543,1.452,24.962
포항,2023-03,2023-06,4,2.251,1.732,20.546
포항,2024-04,2024-06,3,1.912,1.495,20.413
포항,2024-08,2024-11,4,3.747,2.822,27.388
포항,2025-07,2025-08,2,2.323,2.011,26.495
포항,2025-10,2026-04,7,2.436,1.641,23.405
묵호,1998-04,1998-06,3,1.911,1.354,19.241
묵호,2001-08,2001-09,2,2.091,1.996,26.183
묵호,2008-09,2008-11,3,2.233,1.898,23.555
묵호,2009-02,2009-04,3,2.573,2.166,13.676
묵호,2016-12,2017-01,2,2.049,1.926,15.571
묵호,2018-07,2018-08,2,2.123,1.910,25.980
묵호,2019-01,2019-03,3,2.984,2.458,13.374
묵호,2019-12,2020-01,2,2.106,2.005,15.629
묵호,2021-02,2022-01,12,3.100,2.198,26.034
묵호,2022-06,2022-07,2,2.051,1.473,23.855
묵호,2022-11,2022-12,2,2.280,1.935,17.889
묵호,2023-03,2023-05,3,2.795,2.197,15.879
묵호,2023-09,2023-11,3,2.301,1.818,24.581
묵호,2024-04,2024-11,8,3.693,2.171,27.279
묵호,2025-06,2025-09,4,2.901,2.115,26.376
속초,1994-07,1994-08,2,1.928,1.806,25.899
속초,1998-04,1998-05,2,2.019,1.625,15.291
속초,1998-09,1998-10,2,1.832,1.639,23.427
속초,2008-03,2008-04,2,2.944,2.546,13.356
속초,2008-09,2009-03,7,3.868,2.319,23.077
속초,2017-01,2017-02,2,3.202,2.914,12.077
속초,2018-06,2018-08,3,1.805,1.365,25.678
속초,2019-10,2020-02,5,3.749,2.594,19.988
속초,2021-03,2021-08,6,3.127,2.236,25.907
속초,2021-10,2021-12,3,2.693,2.455,21.098
속초,2023-09,2023-10,2,1.981,1.751,23.502
속초,2024-04,2024-11,8,3.135,2.373,27.350
속초,2025-06,2025-09,4,2.728,2.335,26.710
속초,2025-11,2025-12,2,1.956,1.591,16.609
