note,note_line,ref,old_line,new_line,verdict
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,61,src/gwce.F,2479,2479-2479,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,66,src/timestep.F,129,129-129,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,68,src/nodalattr.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,68,src/gwce.F,2477-2482,2477-2482,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,69,src/timestep.F,1634,1638-1638,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,73,src/gwce.F,442,442-442,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,75,src/vsmy.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-momentum-implementation.md,80,src/vsmy.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,7,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,7,src/timestep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,7,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,18,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,20,src/read_input.F,3504-3589,3518-3603,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-nffr-periodic-flux-boundary.md,22,src/read_input.F,3505,3519-3519,LINE_REFERENCE_UPDATE
