note,line,ref,base,ranges,span,state,excluded,changed,deleted
models/SWAN/manual-notes/swan-tech-ch3-discretization.md,76,SwanGSECorr.ftn90,SwanGSECorr.ftn90,,0,RESOLVED,False,False,False
models/SWAN/manual-notes/swan-tech-ch3-discretization.md,141,SwanGSECorr.ftn90,SwanGSECorr.ftn90,,0,RESOLVED,False,False,False
models/SWAN/manual-notes/swan-tech-ch3-qc-curvilinear.md,21,SwanQCM.ftn90,SwanQCM.ftn90,,0,RESOLVED,False,False,False
models/SWAN/manual-notes/swan-tech-ch3-qc-curvilinear.md,108,SwanQCM.ftn90,SwanQCM.ftn90,,0,RESOLVED,False,False,False
models/SWAN/manual-notes/swan-tech-ch8-unstructured-grid-scheme.md,115,SwanCompUnstruc.ftn90,SwanCompUnstruc.ftn90,,0,RESOLVED,False,True,False
models/SWAN/manual-notes/swan-tech-ch8-unstructured-grid-scheme.md,119,SwanCompUnstruc.ftn90,SwanCompUnstruc.ftn90,,0,RESOLVED,False,True,False
models/SWAN/manual-notes/swan-tech-ch8-unstructured-ops.md,117,SwanCompUnstruc.ftn90,SwanCompUnstruc.ftn90,,0,RESOLVED,False,True,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,23,swancom1/5.ftn,5.ftn,,0,AMBIGUOUS_ABBREVIATION,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,23,swanmain.ftn,swanmain.ftn,,0,RESOLVED,False,True,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,24,swanpre1/2.ftn,2.ftn,,0,AMBIGUOUS_ABBREVIATION,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,28,[file=src/swanpre1.ftn line=1643-1649],swanpre1.ftn,1643-1649,7,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,29,[file=src/swanpre1.ftn line=1463-1493],swanpre1.ftn,1463-1493,31,RESOLVED,False,False,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,30,swanmain.ftn,swanmain.ftn,,0,RESOLVED,False,True,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,31,[file=src/swanmain.ftn line=618-623],swanmain.ftn,618-623,6,RESOLVED,False,True,False
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,32,[file=src/swanmain.ftn line=624-627],swanmain.ftn,624-627,4,RESOLVED,False,True,False
