note,note_line,ref,source,old,new,status,note_class
models/EFDC/source-analysis/efdc_hydro_core.md,66,hdmt.f90:1344-1349,EFDC/hdmt.f90,1344-1349,1344-1349,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,66,calexp.f90:256,EFDC/calexp.f90,256,256,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,67,hdmt.f90:1335-1342,EFDC/hdmt.f90,1335-1342,1335-1342,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,67,calexp.f90:184,EFDC/calexp.f90,184,184,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,68,hdmt2t.f90:114-115,EFDC/hdmt2t.f90,114-115,114-115,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,72,calbuoy.f90:128-179,EFDC/calbuoy.f90,128-179,128-179,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,74,calpuv9c.f90:217-228,EFDC/calpuv9c.f90,217-228,217-228,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,79,"calexp.f90:1010, 1052-1055",EFDC/calexp.f90,"1010,1052-1055","1010,1052-1055",IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,87,hdmt.f90:676-677,EFDC/hdmt.f90,676-677,676-677,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,87,hdmt2t.f90:611-613,EFDC/hdmt2t.f90,611-613,611-613,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,90,calpuv9c.f90:804-807,EFDC/calpuv9c.f90,804-807,804-807,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,91,calpuv9c.f90:638-639,EFDC/calpuv9c.f90,638-639,638-639,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_hydro_core.md,91,calpuv2c.f90:591-592,EFDC/calpuv2c.f90,591-592,591-592,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,19,"input.f90:2524-2530, 6888-6911, 7000-7099",EFDC/input.f90,"2524-2530,6888-6911,7000-7099","2621-2627,7040-7063,7152-7262",MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,20,mod_scaninp.f90:504-855,EFDC/mod_scaninp.f90,504-855,504-855,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,21,"Transport/mod_heat.f90:251-1490, 1095-1104, 641-753, 1322-1428, 1652-1674",EFDC/Transport/mod_heat.f90,"251-1490,1095-1104,641-753,1322-1428,1652-1674","251-1488,1093-1102,639-751,1320-1426,1650-1672",MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,23,"caltsxy.f90:612-864, 684-724",EFDC/caltsxy.f90,"612-864,684-724","611-863,683-723",MOVED,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,24,calpuv2c.f90:220-226,EFDC/calpuv2c.f90,220-226,220-226,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,24,calpuv9c.f90:565-573,EFDC/calpuv9c.f90,565-573,565-573,IDENTICAL,NO_ACTION/REVIEW_ONLY
models/EFDC/source-analysis/efdc_ice.md,25,calexp.f90:1091-1385,EFDC/calexp.f90,1091-1385,1091-1328,MOVED,NO_ACTION/REVIEW_ONLY
